,0,1,2,3,4,5
80,1977,Vicente Aleixandre, Spain,Spanish,"""for a creative poetic writing, which illuminates man's condition in the cosmos and in present-day society, at the same time representing the great renewal of the traditions of Spanish poetry between the wars""[83]",poetry
81,1978,Isaac Bashevis Singer, United States Poland,Yiddish,"""for his impassioned narrative art which, with roots in a Polish-Jewish cultural tradition, brings universal human conditions to life""[84]","novel, short story, memoirs"
82,1979,Odysseas Elytis, Greece,Greek,"""for his poetry, which, against the background of Greek tradition, depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness""[85]","poetry, essay"
83,1980,Czesław Miłosz, Poland,Polish,"""who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts""[86]","poetry, essay"
84,1981,Elias Canetti, United Kingdom,German,"""for writings marked by a broad outlook, a wealth of ideas and artistic power""[87]","novel, drama, memoirs, essay"
85,1982,Gabriel García Márquez, Colombia,Spanish,"""for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent's life and conflicts""[88]","novel, short story, screenplay"
86,1983,William Golding, United Kingdom,English,"""for his novels, which with the perspicuity of realistic narrative art and the diversity and universality of myth, illuminate the human condition in the world of today""[89]","novel, poetry, drama"
87,1984,Jaroslav Seifert, Czechoslovakia,Czech,"""for his poetry, which endowed with freshness, and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man""[90]",poetry
88,1985,Claude Simon, France,French,"""who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition""[91]",novel
89,1986,Wole Soyinka, Nigeria,English,"""who in a wide cultural perspective and with poetic overtones fashions the drama of existence""[92]","drama, novel, poetry"
90,1987,Joseph Brodsky, United States,Russian and English,"""for an all-embracing authorship, imbued with clarity of thought and poetic intensity""[93]","poetry, essay"
91,1988,Naguib Mahfouz, Egypt,Arabic,"""who, through works rich in nuance - now clear-sightedly realistic, now evocatively ambiguous - has formed an Arabian narrative art that applies to all mankind""[94]",novel
92,1989,Camilo José Cela, Spain,Spanish,"""for a rich and intensive prose, which with restrained compassion forms a challenging vision of man's vulnerability""[95]","novel, short story"
93,1990,Octavio Paz, Mexico,Spanish,"""for impassioned writing with wide horizons, characterized by sensuous intelligence and humanistic integrity""[96]","poetry, essay"
94,1991,Nadine Gordimer, South Africa,English,"""who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity""[97]","novel, short story, essay"
95,1992,Derek Walcott, Saint Lucia,English,"""for a poetic oeuvre of great luminosity, sustained by a historical vision, the outcome of a multicultural commitment""[98]","poetry, drama"
96,1993,Toni Morrison, United States,English,"""who in novels characterized by visionary force and poetic import, gives life to an essential aspect of American reality""[99]",novel
97,1994,Kenzaburō Ōe, Japan,Japanese,"""who with poetic force creates an imagined world, where life and myth condense to form a disconcerting picture of the human predicament today""[100]","novel, short story"
98,1995,Seamus Heaney, Ireland,English,"""for works of lyrical beauty and ethical depth, which exalt everyday miracles and the living past""[101]",poetry
99,1996,Wisława Szymborska, Poland,Polish,"""for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality""[102]",poetry
100,1997,Dario Fo, Italy,Italian,"""who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden""[103]",drama
101,1998,José Saramago, Portugal,Portuguese,"""who with parables sustained by imagination, compassion and irony continually enables us once again to apprehend an elusory reality""[104]","novel, drama, poetry"
102,1999,Günter Grass, Germany,German,"""whose frolicsome black fables portray the forgotten face of history""[105]","novel, drama, poetry"
103,2000,Gao Xingjian, France  China ,Chinese,"""for an oeuvre of universal validity, bitter insights and linguistic ingenuity, which has opened new paths for the Chinese novel and drama""[106]","novel, drama, literary criticism"
104,2001,V. S. Naipaul, United Kingdom,English,"""for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories""[107]","novel, essay"
105,2002,Imre Kertész, Hungary,Hungarian,"""for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history""[108]",novel
106,2003,J. M. Coetzee, Australia South Africa,English,"""who in innumerable guises portrays the surprising involvement of the outsider""[109]","novel, essay, translation"
107,2004,Elfriede Jelinek, Austria,German,"""for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clichés and their subjugating power""[110]","novel, drama"
108,2005,Harold Pinter, United Kingdom,English,"""who in his plays uncovers the precipice under everyday prattle and forces entry into oppression's closed rooms""[111]","drama, screenplay"
109,2006,Orhan Pamuk, Turkey,Turkish,"""who in the quest for the melancholic soul of his native city has discovered new symbols for the clash and interlacing of cultures""[112]","novel, screenplay, essay"
110,2007,Doris Lessing, United Kingdom Zimbabwe,English,"""that epicist of the female experience, who with scepticism, fire and visionary power has subjected a divided civilisation to scrutiny""[113]","novel, drama, poetry, short story, memoirs"
111,2008,J. M. G. Le Clézio, France Mauritius,French,"""author of new departures, poetic adventure and sensual ecstasy, explorer of a humanity beyond and below the reigning civilization""[114]","novel, short story, essay, translation"
112,2009,Herta Müller, Germany,German,"""who, with the concentration of poetry and the frankness of prose, depicts the landscape of the dispossessed""[115]","novel, poetry"
113,2010,Mario Vargas Llosa, Peru Spain,Spanish,"""for his cartography of structures of power and his trenchant images of the individual's resistance, revolt, and defeat""[116]","novel, short story, essay, drama, memoirs"
114,2011,Tomas Tranströmer, Sweden,Swedish,"""because, through his condensed, translucent images, he gives us fresh access to reality""[117]","poetry, translation"
115,2012,Mo Yan, China,Chinese,"""who with hallucinatory realism merges folk tales, history and the contemporary""[118]","novel, short story"
116,2013,Alice Munro, Canada,English,"""master of the contemporary short story""[119]",short story
117,2014,Patrick Modiano, France,French,"""for the art of memory with which he has evoked the most ungraspable human destinies and uncovered the life-world of the occupation""[120]",novel
118,2015,Svetlana Alexievich, Belarus ,Russian,"""for her polyphonic writings, a monument to suffering and courage in our time"" [121]","history, essay"
119,2016,Bob Dylan, United States,English,"""for having created new poetic expressions within the great American song tradition""[122]","poetry, songwriting"
120,2017,Kazuo Ishiguro, United Kingdom ,English,"""who, in novels of great emotional force, has uncovered the abyss beneath our illusory sense of connection with the world""[123]",novel
121,2018,,,,,
